Country;Population;Continent;Total Cases;Total Deaths
Afghanistan;40462186;Asia;177827;7671
Albania;2872296;Europe;273870;3492
Algeria;45236699;Africa;265691;6874
Andorra;77481;Europe;40024;153
Angola;34654212;Africa;99194;1900
Anguilla;15237;Latin America and the Caribbean;2700;9
Antigua and Barbuda;99348;Latin America and the Caribbean;7493;135
Argentina;45921761;Latin America and the Caribbean;9041124;128065
Armenia;2972939;Asia;422574;8617
Aruba;107560;Latin America and the Caribbean;34051;212
Australia;26017767;Oceania;4680816;6384
Austria;9096360;Europe;3887355;15985
Azerbaijan;10299156;Asia;792061;9697
Bahamas;399822;Latin America and the Caribbean;33295;788
Bahrain;1804995;Asia;556241;1471
Bangladesh;167561502;Asia;1951770;29122
Barbados;287991;Latin America and the Caribbean;59938;375
Belarus;9443882;Europe;965322;6844
Belgium;11677924;Europe;3851048;30826
Belize;410260;Latin America and the Caribbean;57289;656
Benin;12678649;Africa;26952;163
Bermuda;61875;Northern America;12564;128
Bhutan;786480;Asia;31437;12
Bolivia;11951714;Latin America and the Caribbean;902448;21896
Bosnia and Herzegovina;3245097;Europe;375693;15719
Botswana;2434708;Africa;305526;2686
Brazil;215204501;Latin America and the Caribbean;29999816;660269
British Virgin Islands;30583;Latin America and the Caribbean;6155;62
Brunei ;444812;Asia;135974;213
Bulgaria;6856886;Europe;1140679;36568
Burkina Faso;21905848;Africa;20853;382
Burundi;12510155;Africa;38519;38
Cabo Verde;566557;Africa;55960;401
Cambodia;17123941;Asia;135747;3054
Cameroon;27701805;Africa;119544;1927
Canada;38321435;Northern America;3499226;37690
CAR;4976719;Africa;14649;113
Caribbean Netherlands,Bonaire Sint Eustatius and Saba;26650;Latin America and the Caribbean,8574,33,321726,1238,0.384884535";;;;
Cayman Islands;67073;Latin America and the Caribbean;20606;24
Chad;17250246;Africa;7308;191
Channel Islands;176668;Europe;69036;156
Chile;19403451;Latin America and the Caribbean;3486653;56750
China;1439323776;Asia;154738;4638
Colombia;51832231;Latin America and the Caribbean;6085926;139660
Comoros;902011;Africa;8093;160
Congo;5755689;Africa;24071;385
Cook Islands;17592;Oceania;2118;0
Costa Rica;5175547;Latin America and the Caribbean;839368;8308
Croatia;4060951;Europe;1102730;15601
Cuba;11314513;Latin America and the Caribbean;1092547;8514
Curaçao;165268;Latin America and the Caribbean;40671;267
Cyprus;1222745;Asia;439964;947
Czechia;10743762;Europe;3830631;39720
Denmark;5827911;Europe;2919428;5762
Djibouti;1013146;Africa;15590;189
Dominica;72299;Latin America and the Caribbean;11891;63
Dominican Republic;11038333;Latin America and the Caribbean;578130;4375
Democratic Republic of the Congo;94323344;Africa;86748;1337
Ecuador;18111933;Latin America and the Caribbean;859890;35421
Egypt;105711844;Africa;505264;24417
El Salvador;6543499;Latin America and the Caribbean;161570;4120
Equatorial Guinea;1483588;Africa;15903;183
Eritrea;3632329;Africa;9728;103
Estonia;1328097;Europe;558706;2468
Eswatini;1181191;Africa;69851;1394
Ethiopia;119945147;Africa;469819;7504
Faeroe Islands;49188;Europe;34237;28
Falkland Islands;3657;Latin America and the Caribbean;123;0
Fiji;907817;Oceania;64422;834
Finland;5555788;Europe;889626;3178
France;65526369;Europe;25997852;142506
French Guiana;312224;Latin America and the Caribbean;79075;394
French Polynesia;283751;Oceania;72318;646
Gabon;2317612;Africa;47586;303
Gambia;2535418;Africa;11988;365
Georgia;3975762;Asia;1649222;16756
Germany;84252947;Europe;21646375;130563
Ghana;32207812;Africa;160971;1445
Gibraltar;33673;Europe;16979;101
Greece;10333930;Europe;3077711;27684
Greenland;56942;Northern America;11971;21
Grenada;113436;Latin America and the Caribbean;14024;218
Guadeloupe;400244;Latin America and the Caribbean;130705;843
Guatemala;18495493;Latin America and the Caribbean;830745;17325
Guinea;13755881;Africa;36459;440
Guinea-Bissau;2049374;Africa;8151;170
Guyana;793196;Latin America and the Caribbean;63272;1226
Haiti;11645833;Latin America and the Caribbean;30549;833
Honduras;10180299;Latin America and the Caribbean;421062;10880
"Hong Kong,""China Hong Kong Special Administrative Region"",HKG,7603455,Asia,1171422,8172,154064,1075,0.69761367";;;;
Hungary;9617409;Europe;1854198;45510
Iceland;345120;Europe;181830;101
India;1403754381;Asia;43029044;521388
Indonesia;278586508;Asia;6019981;155288
Iran;85874667;Asia;7167646;140315
Iraq;41801625;Asia;2320260;25173
Ireland;5034333;Europe;1471210;6786
Isle of Man;85821;Europe;28416;84
Israel;9326000;Asia;3943153;10530
Italy;60306185;Europe;14846514;159784
Ivory Coast;27520953;Africa;81761;796
Jamaica;2983794;Latin America and the Caribbean;128811;2893
Japan;125798669;Asia;6653841;28248
Jordan;10380442;Asia;1689314;14003
Kazakhstan;19169833;Asia;1305188;13660
Kenya;55843563;Africa;323454;5648
Kiribati;122656;Oceania;3067;13
Kuwait;4381108;Asia;629525;2554
Kyrgyzstan;6712569;Asia;200968;2991
Laos;7460338;Asia;183560;679
Latvia;1849698;Europe;802534;5643
Lebanon;6771939;Asia;1092995;10315
Lesotho;2171978;Africa;32910;697
Liberia;5265647;Africa;7400;294
Libya;7034832;Africa;501738;6419
Liechtenstein;38320;Europe;16429;84
Lithuania;2655811;Europe;1030966;8907
Luxembourg;643801;Europe;216979;1037
"Macao,""China Macao Special Administrative Region"",MAC,664828,Asia,82,0,123,0,0";;;;
